Feature,Importance
GenHlth,0.6322399510449939
BMI,0.5334243085784415
Age,0.42783427111674577
HighBP,0.3556151784069143
HighChol,0.2905337744318371
CholCheck,0.21952740877493418
HvyAlcoholConsump,0.15148842893382433
Sex,0.1294767687712464
Income,0.11896126966772007
HeartDiseaseorAttack,0.09537585703421156
PhysHlth,0.08094686002485106
DiffWalk,0.05574510008374183
Education,0.044585780876540124
Stroke,0.038676485923885756
MentHlth,0.034213952625970045
Veggies,0.0332604952305975
AnyHealthcare,0.014472038503234102
Fruits,0.010663659216959746
NoDocbcCost,0.009588242624824047
PhysActivity,0.00859537386116192
Smoker,0.007780107541040685
