Feature,Importance
BMI,0.1582733498094899
GenHlth,0.13851634684235423
Age,0.11702700749795354
HighBP,0.1145629474167504
Income,0.06777900977179921
PhysHlth,0.061033831234323196
HighChol,0.06025360986570716
MentHlth,0.04434547832217283
Education,0.04264446394852142
DiffWalk,0.033762011072410385
HeartDiseaseorAttack,0.02168603599807366
Sex,0.021624217339865068
Fruits,0.021519700291958325
Smoker,0.0212687321026194
PhysActivity,0.0196796553144138
Veggies,0.016800421276330264
NoDocbcCost,0.009417299808978333
HvyAlcoholConsump,0.008983574694022271
Stroke,0.007915531522440103
CholCheck,0.007365233320372668
AnyHealthcare,0.005541542549443787
